corrected_speed_ratio,normalized_corrected_flow,pressure_ratio,teaching_data_only
0.900,0.922160,3.379344,true
0.900,0.928467,3.333125,true
0.900,0.934774,3.285079,true
0.900,0.941080,3.235154,true
0.900,0.947387,3.183300,true
0.900,0.953693,3.129465,true
0.900,0.960000,3.073600,true
1.000,0.787143,5.000000,true
1.000,0.793798,4.982429,true
1.000,0.800453,4.964794,true
1.000,0.807108,4.947035,true
1.000,0.813763,4.929088,true
1.000,0.820418,4.910889,true
1.000,0.827073,4.892378,true
1.000,0.833728,4.873490,true
1.000,0.840383,4.854163,true
1.000,0.847038,4.834336,true
1.000,0.853693,4.813944,true
1.000,0.860348,4.792925,true
1.000,0.867003,4.771216,true
1.000,0.873659,4.748756,true
1.000,0.880314,4.725480,true
1.000,0.886969,4.701328,true
1.000,0.893624,4.676235,true
1.000,0.900279,4.650139,true
1.000,0.906934,4.622977,true
1.000,0.913589,4.594687,true
1.000,0.920244,4.565207,true
1.000,0.926899,4.534472,true
1.000,0.933554,4.502422,true
1.000,0.940209,4.468992,true
1.000,0.946864,4.434121,true
1.000,0.953519,4.397745,true
1.000,0.960174,4.359803,true
1.000,0.966829,4.320230,true
1.000,0.973484,4.278966,true
1.000,0.980139,4.235946,true
1.000,0.986794,4.191109,true
1.000,0.993449,4.144391,true
1.000,1.000105,4.095730,true
1.000,1.006760,4.045063,true
1.000,1.013415,3.992328,true
1.000,1.020070,3.937462,true
1.000,1.026725,3.880402,true
1.000,1.033380,3.821085,true
1.000,1.040035,3.759449,true
1.000,1.046690,3.695432,true
1.000,1.053345,3.628969,true
1.000,1.060000,3.560000,true
1.050,0.830000,5.410000,true
1.050,0.836829,5.390628,true
1.050,0.843659,5.371186,true
1.050,0.850488,5.351606,true
1.050,0.857317,5.331819,true
1.050,0.864146,5.311755,true
1.050,0.870976,5.291346,true
1.050,0.877805,5.270523,true
1.050,0.884634,5.249215,true
1.050,0.891463,5.227355,true
1.050,0.898293,5.204873,true
1.050,0.905122,5.181699,true
1.050,0.911951,5.157766,true
1.050,0.918780,5.133003,true
1.050,0.925610,5.107342,true
1.050,0.932439,5.080714,true
1.050,0.939268,5.053049,true
1.050,0.946098,5.024278,true
1.050,0.952927,4.994332,true
1.050,0.959756,4.963143,true
1.050,0.966585,4.930640,true
1.050,0.973415,4.896756,true
1.050,0.980244,4.861420,true
1.050,0.987073,4.824564,true
1.050,0.993902,4.786118,true
1.050,1.000732,4.746014,true
1.050,1.007561,4.704182,true
1.050,1.014390,4.660554,true
1.050,1.021220,4.615060,true
1.050,1.028049,4.567631,true
1.050,1.034878,4.518197,true
1.050,1.041707,4.466691,true
1.050,1.048537,4.413042,true
1.050,1.055366,4.357182,true
1.050,1.062195,4.299042,true
1.050,1.069024,4.238552,true
1.050,1.075854,4.175643,true
1.050,1.082683,4.110246,true
1.050,1.089512,4.042293,true
1.050,1.096341,3.971713,true
1.050,1.103171,3.898439,true
1.050,1.110000,3.822400,true
