time_s,fuel_demand_norm,accel_limit_norm,temperature_limit_norm,overspeed_limit_norm,scheduled_fuel_norm,rotor_speed_norm,surge_margin_percent,scope
0.000000,0.280000,0.500000,0.859971,0.940000,0.280000,0.300000,17.904759,deterministic teaching data; not a certified schedule
3.750000,0.898317,0.781250,0.859849,0.940000,0.781250,0.900399,17.984516,deterministic teaching data; not a certified schedule
3.800000,0.898463,0.785000,0.859890,0.940000,0.785000,0.902084,17.988381,deterministic teaching data; not a certified schedule
3.850000,0.898597,0.788750,0.859920,0.940000,0.788750,0.903697,17.991342,deterministic teaching data; not a certified schedule
3.900000,0.898719,0.792500,0.859943,0.940000,0.792500,0.905241,17.993593,deterministic teaching data; not a certified schedule
3.950000,0.898830,0.796250,0.859959,0.940000,0.796250,0.906720,17.995291,deterministic teaching data; not a certified schedule
4.000000,0.898932,0.800000,0.859971,0.940000,0.800000,0.908136,17.996563,deterministic teaching data; not a certified schedule
4.050000,0.899025,0.803750,0.859980,0.940000,0.803750,0.909492,17.997509,deterministic teaching data; not a certified schedule
4.100000,0.899109,0.807500,0.859986,0.940000,0.807500,0.910790,17.998207,deterministic teaching data; not a certified schedule
4.150000,0.899187,0.811250,0.859991,0.940000,0.811250,0.912033,17.998718,deterministic teaching data; not a certified schedule
4.200000,0.899257,0.815000,0.859994,0.940000,0.815000,0.913223,17.999090,deterministic teaching data; not a certified schedule
4.250000,0.899322,0.818750,0.859996,0.940000,0.818750,0.914362,17.999358,deterministic teaching data; not a certified schedule
4.300000,0.899381,0.822500,0.859997,0.940000,0.822500,0.915453,17.999551,deterministic teaching data; not a certified schedule
4.350000,0.899435,0.826250,0.859998,0.940000,0.826250,0.916497,17.999688,deterministic teaching data; not a certified schedule
4.400000,0.899484,0.830000,0.859999,0.940000,0.830000,0.917497,17.999784,deterministic teaching data; not a certified schedule
4.450000,0.899529,0.833750,0.859999,0.940000,0.833750,0.918455,17.999852,deterministic teaching data; not a certified schedule
4.500000,0.899570,0.837500,0.859999,0.940000,0.837500,0.919371,17.999899,deterministic teaching data; not a certified schedule
4.550000,0.899607,0.841250,0.860000,0.940000,0.841250,0.920249,17.999932,deterministic teaching data; not a certified schedule
4.600000,0.899641,0.845000,0.860000,0.940000,0.845000,0.921089,17.999954,deterministic teaching data; not a certified schedule
4.650000,0.899672,0.848750,0.860000,0.940000,0.848750,0.921894,17.999969,deterministic teaching data; not a certified schedule
4.700000,0.899701,0.852500,0.860000,0.940000,0.852500,0.922664,17.999980,deterministic teaching data; not a certified schedule
4.750000,0.899727,0.856250,0.860000,0.940000,0.856250,0.923402,17.999987,deterministic teaching data; not a certified schedule
4.800000,0.899751,0.860000,0.860000,0.940000,0.860000,0.924108,17.999991,deterministic teaching data; not a certified schedule
4.850000,0.899772,0.863750,0.860000,0.940000,0.860000,0.924784,17.999994,deterministic teaching data; not a certified schedule
4.900000,0.899792,0.867500,0.860000,0.940000,0.860000,0.925432,17.999996,deterministic teaching data; not a certified schedule
4.950000,0.899810,0.871250,0.860000,0.940000,0.860000,0.926051,17.999998,deterministic teaching data; not a certified schedule
5.000000,0.899827,0.875000,0.860000,0.940000,0.860000,0.926645,17.999999,deterministic teaching data; not a certified schedule
